,code,市,省
0,101010100,北京,北京
1,101020100,上海,上海
2,101030100,天津,天津
3,101040100,重庆,重庆
4,101050100,哈尔滨,黑龙江
5,101050200,齐齐哈尔,黑龙江
6,101050300,牡丹江,黑龙江
7,101050400,佳木斯,黑龙江
8,101050500,绥化,黑龙江
9,101050600,黑河,黑龙江
10,101050700,伊春,黑龙江
11,101050800,大庆,黑龙江
12,101050900,七台河,黑龙江
13,101051000,鸡西,黑龙江
14,101051100,鹤岗,黑龙江
15,101051200,双鸭山,黑龙江
16,101051300,大兴安岭,黑龙江
17,101060100,长春,吉林
18,101060200,吉林,吉林
19,101060300,四平,吉林
20,101060400,通化,吉林
21,101060500,白城,吉林
22,101060600,辽源,吉林
23,101060700,松原,吉林
24,101060800,白山,吉林
25,101060900,延边,吉林
26,101070100,沈阳,辽宁
27,101070200,大连,辽宁
28,101070300,鞍山,辽宁
29,101070400,抚顺,辽宁
30,101070500,本溪,辽宁
31,101070600,丹东,辽宁
32,101070700,锦州,辽宁
33,101070800,营口,辽宁
34,101070900,阜新,辽宁
35,101071000,辽阳,辽宁
36,101071100,铁岭,辽宁
37,101071200,朝阳,辽宁
38,101071300,盘锦,辽宁
39,101071400,葫芦岛,辽宁
40,101080100,呼和浩特,内蒙古
41,101080200,包头,内蒙古
42,101080300,乌海,内蒙古
43,101080400,通辽,内蒙古
44,101080500,赤峰,内蒙古
45,101080600,鄂尔多斯,内蒙古
46,101080700,呼伦贝尔,内蒙古
47,101080800,巴彦淖尔,内蒙古
48,101080900,乌兰察布,内蒙古
49,101081000,锡林郭勒,内蒙古
50,101081100,兴安盟,内蒙古
51,101081200,阿拉善,内蒙古
52,101090100,石家庄,河北
53,101090200,保定,河北
54,101090300,张家口,河北
55,101090400,承德,河北
56,101090500,唐山,河北
57,101090600,廊坊,河北
58,101090700,沧州,河北
59,101090800,衡水,河北
60,101090900,邢台,河北
61,101091000,邯郸,河北
62,101091100,秦皇岛,河北
63,101100100,太原,山西
64,101100200,大同,山西
65,101100300,阳泉,山西
66,101100400,晋中,山西
67,101100500,长治,山西
68,101100600,晋城,山西
69,101100700,临汾,山西
70,101100800,运城,山西
71,101100900,朔州,山西
72,101101000,忻州,山西
73,101101100,吕梁,山西
74,101110100,西安,陕西
75,101110200,咸阳,陕西
76,101110300,延安,陕西
77,101110400,榆林,陕西
78,101110500,渭南,陕西
79,101110600,商洛,陕西
80,101110700,安康,陕西
81,101110800,汉中,陕西
82,101110900,宝鸡,陕西
83,101111000,铜川,陕西
84,101120100,济南,山东
85,101120200,青岛,山东
86,101120300,淄博,山东
87,101120400,德州,山东
88,101120500,烟台,山东
89,101120600,潍坊,山东
90,101120700,济宁,山东
91,101120800,泰安,山东
92,101120900,临沂,山东
93,101121000,菏泽,山东
94,101121100,滨州,山东
95,101121200,东营,山东
96,101121300,威海,山东
97,101121400,枣庄,山东
98,101121500,日照,山东
99,101121600,莱芜,山东
100,101121700,聊城,山东
101,101130100,乌鲁木齐,新疆
102,101130200,克拉玛依,新疆
103,101130300,昌吉,新疆
104,101130400,巴音郭楞,新疆
105,101130500,博尔塔拉,新疆
106,101130600,伊犁,新疆
107,101130800,吐鲁番,新疆
108,101130900,哈密,新疆
109,101131000,阿克苏,新疆
110,101131100,克孜勒苏柯尔克孜,新疆
111,101131200,喀什,新疆
112,101131300,和田,新疆
113,101131400,塔城,新疆
114,101131500,阿勒泰,新疆
115,101131600,石河子,新疆
116,101131700,阿拉尔,新疆
117,101131800,图木舒克,新疆
118,101131900,五家渠,新疆
119,101132000,铁门关,新疆
120,101132100,北屯市,新疆
121,101132200,可克达拉市,新疆
122,101132300,昆玉市,新疆
123,101132400,双河市,新疆
124,101150100,西宁,青海
125,101150200,海东,青海
126,101150300,海北,青海
127,101150400,黄南,青海
128,101150500,海南,青海
129,101150600,果洛,青海
130,101150700,玉树,青海
131,101150800,海西,青海
132,101160100,兰州,甘肃
133,101160200,定西,甘肃
134,101160300,平凉,甘肃
135,101160400,庆阳,甘肃
136,101160500,武威,甘肃
137,101160600,金昌,甘肃
138,101160700,张掖,甘肃
139,101160800,酒泉,甘肃
140,101160900,天水,甘肃
141,101161000,白银,甘肃
142,101161100,陇南,甘肃
143,101161200,嘉峪关,甘肃
144,101161300,临夏,甘肃
145,101161400,甘南,甘肃
146,101170100,银川,宁夏
147,101170200,石嘴山,宁夏
148,101170300,吴忠,宁夏
149,101170400,固原,宁夏
150,101170500,中卫,宁夏
151,101180100,郑州,河南
152,101180200,安阳,河南
153,101180300,新乡,河南
154,101180400,许昌,河南
155,101180500,平顶山,河南
156,101180600,信阳,河南
157,101180700,南阳,河南
158,101180800,开封,河南
159,101180900,洛阳,河南
160,101181000,商丘,河南
161,101181100,焦作,河南
162,101181200,鹤壁,河南
163,101181300,濮阳,河南
164,101181400,周口,河南
165,101181500,漯河,河南
166,101181600,驻马店,河南
167,101181700,三门峡,河南
168,101181800,济源,河南
169,101190100,南京,江苏
170,101190200,无锡,江苏
171,101190300,镇江,江苏
172,101190400,苏州,江苏
173,101190500,南通,江苏
174,101190600,扬州,江苏
175,101190700,盐城,江苏
176,101190800,徐州,江苏
177,101190900,淮安,江苏
178,101191000,连云港,江苏
179,101191100,常州,江苏
180,101191200,泰州,江苏
181,101191300,宿迁,江苏
182,101200100,武汉,湖北
183,101200200,襄阳,湖北
184,101200300,鄂州,湖北
185,101200400,孝感,湖北
186,101200500,黄冈,湖北
187,101200600,黄石,湖北
188,101200700,咸宁,湖北
189,101200800,荆州,湖北
190,101200900,宜昌,湖北
191,101201000,十堰,湖北
192,101201100,随州,湖北
193,101201200,荆门,湖北
194,101201300,恩施,湖北
195,101201400,仙桃,湖北
196,101201500,潜江,湖北
197,101201600,天门,湖北
198,101201700,神农架,湖北
199,101210100,杭州,浙江
200,101210200,湖州,浙江
201,101210300,嘉兴,浙江
202,101210400,宁波,浙江
203,101210500,绍兴,浙江
204,101210600,台州,浙江
205,101210700,温州,浙江
206,101210800,丽水,浙江
207,101210900,金华,浙江
208,101211000,衢州,浙江
209,101211100,舟山,浙江
210,101220100,合肥,安徽
211,101220200,蚌埠,安徽
212,101220300,芜湖,安徽
213,101220400,淮南,安徽
214,101220500,马鞍山,安徽
215,101220600,安庆,安徽
216,101220700,宿州,安徽
217,101220800,阜阳,安徽
218,101220900,亳州,安徽
219,101221000,滁州,安徽
220,101221100,淮北,安徽
221,101221200,铜陵,安徽
222,101221300,宣城,安徽
223,101221400,六安,安徽
224,101221500,池州,安徽
225,101221600,黄山,安徽
226,101230100,福州,福建
227,101230200,厦门,福建
228,101230300,宁德,福建
229,101230400,莆田,福建
230,101230500,泉州,福建
231,101230600,漳州,福建
232,101230700,龙岩,福建
233,101230800,三明,福建
234,101230900,南平,福建
235,101240100,南昌,江西
236,101240200,九江,江西
237,101240300,上饶,江西
238,101240400,抚州,江西
239,101240500,宜春,江西
240,101240600,吉安,江西
241,101240700,赣州,江西
242,101240800,景德镇,江西
243,101240900,萍乡,江西
244,101241000,新余,江西
245,101241100,鹰潭,江西
246,101250100,长沙,湖南
247,101250200,湘潭,湖南
248,101250300,株洲,湖南
249,101250400,衡阳,湖南
250,101250500,郴州,湖南
251,101250600,常德,湖南
252,101250700,益阳,湖南
253,101250800,娄底,湖南
254,101250900,邵阳,湖南
255,101251000,岳阳,湖南
256,101251100,张家界,湖南
257,101251200,怀化,湖南
258,101251300,永州,湖南
259,101251400,湘西,湖南
260,101260100,贵阳,贵州
261,101260200,遵义,贵州
262,101260300,安顺,贵州
263,101260400,铜仁,贵州
264,101260500,毕节,贵州
265,101260600,六盘水,贵州
266,101260700,黔东南,贵州
267,101260800,黔南,贵州
268,101260900,黔西南,贵州
269,101270100,成都,四川
270,101270200,攀枝花,四川
271,101270300,自贡,四川
272,101270400,绵阳,四川
273,101270500,南充,四川
274,101270600,达州,四川
275,101270700,遂宁,四川
276,101270800,广安,四川
277,101270900,巴中,四川
278,101271000,泸州,四川
279,101271100,宜宾,四川
280,101271200,内江,四川
281,101271300,资阳,四川
282,101271400,乐山,四川
283,101271500,眉山,四川
284,101271600,雅安,四川
285,101271700,德阳,四川
286,101271800,广元,四川
287,101271900,阿坝,四川
288,101272000,凉山,四川
289,101272100,甘孜,四川
290,101280100,广州,广东
291,101280200,韶关,广东
292,101280300,惠州,广东
293,101280400,梅州,广东
294,101280500,汕头,广东
295,101280600,深圳,广东
296,101280700,珠海,广东
297,101280800,佛山,广东
298,101280900,肇庆,广东
299,101281000,湛江,广东
300,101281100,江门,广东
301,101281200,河源,广东
302,101281300,清远,广东
303,101281400,云浮,广东
304,101281500,潮州,广东
305,101281600,东莞,广东
306,101281700,中山,广东
307,101281800,阳江,广东
308,101281900,揭阳,广东
309,101282000,茂名,广东
310,101282100,汕尾,广东
311,101282200,东沙群岛,广东
312,101290100,昆明,云南
313,101290200,曲靖,云南
314,101290300,保山,云南
315,101290400,玉溪,云南
316,101290500,普洱,云南
317,101290700,昭通,云南
318,101290800,临沧,云南
319,101290900,丽江,云南
320,101291000,西双版纳,云南
321,101291100,文山,云南
322,101291200,红河,云南
323,101291300,德宏,云南
324,101291400,怒江,云南
325,101291500,迪庆,云南
326,101291600,大理,云南
327,101291700,楚雄,云南
328,101300100,南宁,广西
329,101300200,崇左,广西
330,101300300,柳州,广西
331,101300400,来宾,广西
332,101300500,桂林,广西
333,101300600,梧州,广西
334,101300700,贺州,广西
335,101300800,贵港,广西
336,101300900,玉林,广西
337,101301000,百色,广西
338,101301100,钦州,广西
339,101301200,河池,广西
340,101301300,北海,广西
341,101301400,防城港,广西
342,101310100,海口,海南
343,101310200,三亚,海南
344,101310300,三沙,海南
345,101310400,儋州,海南
346,101310500,五指山,海南
347,101310600,琼海,海南
348,101310700,文昌,海南
349,101310800,万宁,海南
350,101310900,东方,海南
351,101311000,定安,海南
352,101311100,屯昌,海南
353,101311200,澄迈,海南
354,101311300,临高,海南
355,101311400,白沙,海南
356,101311500,昌江,海南
357,101311600,乐东,海南
358,101311700,陵水,海南
359,101311800,保亭,海南
360,101311900,琼中,海南
361,101341100,台湾,台湾
362,101140100,拉萨,西藏
363,101140200,日喀则,西藏
364,101140300,昌都,西藏
365,101140400,林芝,西藏
366,101140500,山南,西藏
367,101140600,那曲,西藏
368,101140700,阿里,西藏
369,101320300,香港,香港
370,101330100,澳门,澳门
